crop,crop_cycle_id,dataset,environment,measurement_method,plot_id,quality,source,source_type,timestamp,unit,value,variable,variety
lettuce,lettuce_002,biomass,GREENHOUSE,synthetic_model,plot_20500,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-04-09T09:00:00+00:00,g/m2,539.791,biomass,
peach,peach_plot_61200_2026,biomass,OUTDOOR,synthetic_model,plot_61200,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-04-09T09:00:00+00:00,g/m2,200.216,biomass,
apple,apple_plot_72300_2026,biomass,OUTDOOR,synthetic_model,plot_72300,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-04-09T09:00:00+00:00,g/m2,201.014,biomass,
tomato,tomato_12010_2026,biomass,GREENHOUSE,synthetic_model,plot_12010,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-04-16T09:00:00+00:00,g/m2,262.433,biomass,RAF
pepper,pepper_40811_2026,biomass,OUTDOOR,synthetic_model,plot_40811,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-04-16T09:00:00+00:00,g/m2,179.436,biomass,Lamuyo
grape,grape_30412_2026,biomass,OUTDOOR,synthetic_model,plot_30412,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-04-16T09:00:00+00:00,g/m2,148.472,biomass,Monastrell
plum,plum_14705_2026,biomass,OUTDOOR,synthetic_model,plot_14705,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-04-16T09:00:00+00:00,g/m2,151.631,biomass,Suplum 26
peach,peach_plot_61200_2026,biomass,OUTDOOR,synthetic_model,plot_61200,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-04-16T09:00:00+00:00,g/m2,215.86,biomass,
apple,apple_plot_72300_2026,biomass,OUTDOOR,synthetic_model,plot_72300,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-04-16T09:00:00+00:00,g/m2,218.874,biomass,
tomato,tomato_12010_2026,biomass,GREENHOUSE,synthetic_model,plot_12010,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-04-23T09:00:00+00:00,g/m2,287.2,biomass,RAF
pepper,pepper_40811_2026,biomass,OUTDOOR,synthetic_model,plot_40811,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-04-23T09:00:00+00:00,g/m2,199.215,biomass,Lamuyo
grape,grape_30412_2026,biomass,OUTDOOR,synthetic_model,plot_30412,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-04-23T09:00:00+00:00,g/m2,167.651,biomass,Monastrell
plum,plum_14705_2026,biomass,OUTDOOR,synthetic_model,plot_14705,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-04-23T09:00:00+00:00,g/m2,167.941,biomass,Suplum 26
peach,peach_plot_61200_2026,biomass,OUTDOOR,synthetic_model,plot_61200,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-04-23T09:00:00+00:00,g/m2,232.429,biomass,
apple,apple_plot_72300_2026,biomass,OUTDOOR,synthetic_model,plot_72300,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-04-23T09:00:00+00:00,g/m2,233.021,biomass,
tomato,tomato_12010_2026,biomass,GREENHOUSE,synthetic_model,plot_12010,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-04-30T09:00:00+00:00,g/m2,311.808,biomass,RAF
pepper,pepper_40811_2026,biomass,OUTDOOR,synthetic_model,plot_40811,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-04-30T09:00:00+00:00,g/m2,221.308,biomass,Lamuyo
grape,grape_30412_2026,biomass,OUTDOOR,synthetic_model,plot_30412,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-04-30T09:00:00+00:00,g/m2,183.852,biomass,Monastrell
plum,plum_14705_2026,biomass,OUTDOOR,synthetic_model,plot_14705,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-04-30T09:00:00+00:00,g/m2,183.292,biomass,Suplum 26
peach,peach_plot_61200_2026,biomass,OUTDOOR,synthetic_model,plot_61200,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-04-30T09:00:00+00:00,g/m2,250.555,biomass,
apple,apple_plot_72300_2026,biomass,OUTDOOR,synthetic_model,plot_72300,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-04-30T09:00:00+00:00,g/m2,248.697,biomass,
tomato,tomato_12010_2026,biomass,GREENHOUSE,synthetic_model,plot_12010,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-05-07T09:00:00+00:00,g/m2,332.748,biomass,RAF
pepper,pepper_40811_2026,biomass,OUTDOOR,synthetic_model,plot_40811,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-05-07T09:00:00+00:00,g/m2,240.241,biomass,Lamuyo
grape,grape_30412_2026,biomass,OUTDOOR,synthetic_model,plot_30412,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-05-07T09:00:00+00:00,g/m2,200.869,biomass,Monastrell
plum,plum_14705_2026,biomass,OUTDOOR,synthetic_model,plot_14705,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-05-07T09:00:00+00:00,g/m2,199.71,biomass,Suplum 26
peach,peach_plot_61200_2026,biomass,OUTDOOR,synthetic_model,plot_61200,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-05-07T09:00:00+00:00,g/m2,265.91,biomass,
apple,apple_plot_72300_2026,biomass,OUTDOOR,synthetic_model,plot_72300,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-05-07T09:00:00+00:00,g/m2,266.031,biomass,
tomato,tomato_12010_2026,biomass,GREENHOUSE,synthetic_model,plot_12010,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-05-14T09:00:00+00:00,g/m2,357.404,biomass,RAF
pepper,pepper_40811_2026,biomass,OUTDOOR,synthetic_model,plot_40811,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-05-14T09:00:00+00:00,g/m2,259.097,biomass,Lamuyo
grape,grape_30412_2026,biomass,OUTDOOR,synthetic_model,plot_30412,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-05-14T09:00:00+00:00,g/m2,217.95,biomass,Monastrell
plum,plum_14705_2026,biomass,OUTDOOR,synthetic_model,plot_14705,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-05-14T09:00:00+00:00,g/m2,219.089,biomass,Suplum 26
peach,peach_plot_61200_2026,biomass,OUTDOOR,synthetic_model,plot_61200,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-05-14T09:00:00+00:00,g/m2,282.708,biomass,
apple,apple_plot_72300_2026,biomass,OUTDOOR,synthetic_model,plot_72300,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-05-14T09:00:00+00:00,g/m2,280.411,biomass,
tomato,tomato_12010_2026,biomass,GREENHOUSE,synthetic_model,plot_12010,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-05-21T09:00:00+00:00,g/m2,380.449,biomass,RAF
pepper,pepper_40811_2026,biomass,OUTDOOR,synthetic_model,plot_40811,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-05-21T09:00:00+00:00,g/m2,279.243,biomass,Lamuyo
grape,grape_30412_2026,biomass,OUTDOOR,synthetic_model,plot_30412,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-05-21T09:00:00+00:00,g/m2,232.927,biomass,Monastrell
plum,plum_14705_2026,biomass,OUTDOOR,synthetic_model,plot_14705,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-05-21T09:00:00+00:00,g/m2,235.124,biomass,Suplum 26
peach,peach_plot_61200_2026,biomass,OUTDOOR,synthetic_model,plot_61200,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-05-21T09:00:00+00:00,g/m2,296.393,biomass,
apple,apple_plot_72300_2026,biomass,OUTDOOR,synthetic_model,plot_72300,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-05-21T09:00:00+00:00,g/m2,298.243,biomass,
tomato,tomato_12010_2026,biomass,GREENHOUSE,synthetic_model,plot_12010,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-05-28T09:00:00+00:00,g/m2,401.108,biomass,RAF
pepper,pepper_40811_2026,biomass,OUTDOOR,synthetic_model,plot_40811,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-05-28T09:00:00+00:00,g/m2,298.278,biomass,Lamuyo
grape,grape_30412_2026,biomass,OUTDOOR,synthetic_model,plot_30412,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-05-28T09:00:00+00:00,g/m2,249.846,biomass,Monastrell
plum,plum_14705_2026,biomass,OUTDOOR,synthetic_model,plot_14705,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-05-28T09:00:00+00:00,g/m2,251.662,biomass,Suplum 26
peach,peach_plot_61200_2026,biomass,OUTDOOR,synthetic_model,plot_61200,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-05-28T09:00:00+00:00,g/m2,313.714,biomass,
apple,apple_plot_72300_2026,biomass,OUTDOOR,synthetic_model,plot_72300,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-05-28T09:00:00+00:00,g/m2,312.884,biomass,
tomato,tomato_12010_2026,biomass,GREENHOUSE,synthetic_model,plot_12010,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-06-04T09:00:00+00:00,g/m2,421.272,biomass,RAF
pepper,pepper_40811_2026,biomass,OUTDOOR,synthetic_model,plot_40811,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-06-04T09:00:00+00:00,g/m2,318.049,biomass,Lamuyo
grape,grape_30412_2026,biomass,OUTDOOR,synthetic_model,plot_30412,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-06-04T09:00:00+00:00,g/m2,266.429,biomass,Monastrell
plum,plum_14705_2026,biomass,OUTDOOR,synthetic_model,plot_14705,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-06-04T09:00:00+00:00,g/m2,266.389,biomass,Suplum 26
peach,peach_plot_61200_2026,biomass,OUTDOOR,synthetic_model,plot_61200,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-06-04T09:00:00+00:00,g/m2,328.174,biomass,
apple,apple_plot_72300_2026,biomass,OUTDOOR,synthetic_model,plot_72300,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-06-04T09:00:00+00:00,g/m2,329.376,biomass,
tomato,tomato_12010_2026,biomass,GREENHOUSE,synthetic_model,plot_12010,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-06-11T09:00:00+00:00,g/m2,444.033,biomass,RAF
pepper,pepper_40811_2026,biomass,OUTDOOR,synthetic_model,plot_40811,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-06-11T09:00:00+00:00,g/m2,335.354,biomass,Lamuyo
grape,grape_30412_2026,biomass,OUTDOOR,synthetic_model,plot_30412,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-06-11T09:00:00+00:00,g/m2,283.104,biomass,Monastrell
plum,plum_14705_2026,biomass,OUTDOOR,synthetic_model,plot_14705,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-06-11T09:00:00+00:00,g/m2,282.687,biomass,Suplum 26
peach,peach_plot_61200_2026,biomass,OUTDOOR,synthetic_model,plot_61200,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-06-11T09:00:00+00:00,g/m2,344.136,biomass,
apple,apple_plot_72300_2026,biomass,OUTDOOR,synthetic_model,plot_72300,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-06-11T09:00:00+00:00,g/m2,342.623,biomass,
tomato,tomato_12010_2026,biomass,GREENHOUSE,synthetic_model,plot_12010,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-06-18T09:00:00+00:00,g/m2,465.835,biomass,RAF
pepper,pepper_40811_2026,biomass,OUTDOOR,synthetic_model,plot_40811,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-06-18T09:00:00+00:00,g/m2,354.081,biomass,Lamuyo
grape,grape_30412_2026,biomass,OUTDOOR,synthetic_model,plot_30412,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-06-18T09:00:00+00:00,g/m2,298.989,biomass,Monastrell
plum,plum_14705_2026,biomass,OUTDOOR,synthetic_model,plot_14705,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-06-18T09:00:00+00:00,g/m2,297.832,biomass,Suplum 26
peach,peach_plot_61200_2026,biomass,OUTDOOR,synthetic_model,plot_61200,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-06-18T09:00:00+00:00,g/m2,357.739,biomass,
apple,apple_plot_72300_2026,biomass,OUTDOOR,synthetic_model,plot_72300,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-06-18T09:00:00+00:00,g/m2,357.73,biomass,
tomato,tomato_12010_2026,biomass,GREENHOUSE,synthetic_model,plot_12010,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-06-25T09:00:00+00:00,g/m2,483.819,biomass,RAF
pepper,pepper_40811_2026,biomass,OUTDOOR,synthetic_model,plot_40811,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-06-25T09:00:00+00:00,g/m2,372.561,biomass,Lamuyo
grape,grape_30412_2026,biomass,OUTDOOR,synthetic_model,plot_30412,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-06-25T09:00:00+00:00,g/m2,315.188,biomass,Monastrell
plum,plum_14705_2026,biomass,OUTDOOR,synthetic_model,plot_14705,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-06-25T09:00:00+00:00,g/m2,315.565,biomass,Suplum 26
peach,peach_plot_61200_2026,biomass,OUTDOOR,synthetic_model,plot_61200,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-06-25T09:00:00+00:00,g/m2,373.226,biomass,
apple,apple_plot_72300_2026,biomass,OUTDOOR,synthetic_model,plot_72300,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-06-25T09:00:00+00:00,g/m2,370.821,biomass,
tomato,tomato_12010_2026,biomass,GREENHOUSE,synthetic_model,plot_12010,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-07-02T09:00:00+00:00,g/m2,501.856,biomass,RAF
pepper,pepper_40811_2026,biomass,OUTDOOR,synthetic_model,plot_40811,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-07-02T09:00:00+00:00,g/m2,392.314,biomass,Lamuyo
grape,grape_30412_2026,biomass,OUTDOOR,synthetic_model,plot_30412,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-07-02T09:00:00+00:00,g/m2,329.91,biomass,Monastrell
plum,plum_14705_2026,biomass,OUTDOOR,synthetic_model,plot_14705,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-07-02T09:00:00+00:00,g/m2,329.891,biomass,Suplum 26
peach,peach_plot_61200_2026,biomass,OUTDOOR,synthetic_model,plot_61200,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-07-02T09:00:00+00:00,g/m2,385.876,biomass,
apple,apple_plot_72300_2026,biomass,OUTDOOR,synthetic_model,plot_72300,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-07-02T09:00:00+00:00,g/m2,386.3,biomass,
tomato,tomato_12010_2026,biomass,GREENHOUSE,synthetic_model,plot_12010,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-07-09T09:00:00+00:00,g/m2,522.964,biomass,RAF
pepper,pepper_40811_2026,biomass,OUTDOOR,synthetic_model,plot_40811,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-07-09T09:00:00+00:00,g/m2,410.432,biomass,Lamuyo
grape,grape_30412_2026,biomass,OUTDOOR,synthetic_model,plot_30412,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-07-09T09:00:00+00:00,g/m2,343.876,biomass,Monastrell
plum,plum_14705_2026,biomass,OUTDOOR,synthetic_model,plot_14705,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-07-09T09:00:00+00:00,g/m2,344.537,biomass,Suplum 26
peach,peach_plot_61200_2026,biomass,OUTDOOR,synthetic_model,plot_61200,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-07-09T09:00:00+00:00,g/m2,398.533,biomass,
apple,apple_plot_72300_2026,biomass,OUTDOOR,synthetic_model,plot_72300,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-07-09T09:00:00+00:00,g/m2,401.017,biomass,
tomato,tomato_12010_2026,biomass,GREENHOUSE,synthetic_model,plot_12010,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-07-16T09:00:00+00:00,g/m2,539.075,biomass,RAF
pepper,pepper_40811_2026,biomass,OUTDOOR,synthetic_model,plot_40811,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-07-16T09:00:00+00:00,g/m2,426.625,biomass,Lamuyo
grape,grape_30412_2026,biomass,OUTDOOR,synthetic_model,plot_30412,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-07-16T09:00:00+00:00,g/m2,360.363,biomass,Monastrell
plum,plum_14705_2026,biomass,OUTDOOR,synthetic_model,plot_14705,VALID,SYNTHETIC_TEST,synthetic_test_data,2026-07-16T09:00:00+00:00,g/m2,359.558,biomass,Suplum 26
