crop,crop_cycle_id,dataset,environment,measurement_method,observation_type,plot_id,quality,resolution,source,source_type,timestamp,unit,value,variable,variety
pepper,pepper_40811_2026,phenology,OUTDOOR,synthetic_model,event,plot_40811,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-04-16T09:00:00+00:00,date,2026-04-16,maturity,Lamuyo
grape,grape_30412_2026,phenology,OUTDOOR,synthetic_model,event,plot_30412,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-04-16T09:00:00+00:00,date,2026-04-16,maturity,Monastrell
plum,plum_14705_2026,phenology,OUTDOOR,synthetic_model,event,plot_14705,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-04-16T09:00:00+00:00,date,2026-04-16,maturity,Suplum 26
peach,peach_plot_61200_2026,phenology,OUTDOOR,synthetic_model,event,plot_61200,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-04-16T09:00:00+00:00,date,2026-04-16,maturity,
apple,apple_plot_72300_2026,phenology,OUTDOOR,synthetic_model,event,plot_72300,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-04-16T09:00:00+00:00,date,2026-04-16,maturity,
tomato,tomato_12010_2026,phenology,GREENHOUSE,synthetic_model,event,plot_12010,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-04-23T09:00:00+00:00,date,2026-04-23,maturity,RAF
pepper,pepper_40811_2026,phenology,OUTDOOR,synthetic_model,event,plot_40811,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-04-23T09:00:00+00:00,date,2026-04-23,maturity,Lamuyo
grape,grape_30412_2026,phenology,OUTDOOR,synthetic_model,event,plot_30412,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-04-23T09:00:00+00:00,date,2026-04-23,maturity,Monastrell
plum,plum_14705_2026,phenology,OUTDOOR,synthetic_model,event,plot_14705,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-04-23T09:00:00+00:00,date,2026-04-23,maturity,Suplum 26
peach,peach_plot_61200_2026,phenology,OUTDOOR,synthetic_model,event,plot_61200,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-04-23T09:00:00+00:00,date,2026-04-23,maturity,
apple,apple_plot_72300_2026,phenology,OUTDOOR,synthetic_model,event,plot_72300,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-04-23T09:00:00+00:00,date,2026-04-23,maturity,
tomato,tomato_12010_2026,phenology,GREENHOUSE,synthetic_model,event,plot_12010,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-04-30T09:00:00+00:00,date,2026-04-30,maturity,RAF
pepper,pepper_40811_2026,phenology,OUTDOOR,synthetic_model,event,plot_40811,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-04-30T09:00:00+00:00,date,2026-04-30,maturity,Lamuyo
grape,grape_30412_2026,phenology,OUTDOOR,synthetic_model,event,plot_30412,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-04-30T09:00:00+00:00,date,2026-04-30,maturity,Monastrell
plum,plum_14705_2026,phenology,OUTDOOR,synthetic_model,event,plot_14705,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-04-30T09:00:00+00:00,date,2026-04-30,maturity,Suplum 26
peach,peach_plot_61200_2026,phenology,OUTDOOR,synthetic_model,event,plot_61200,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-04-30T09:00:00+00:00,date,2026-04-30,maturity,
apple,apple_plot_72300_2026,phenology,OUTDOOR,synthetic_model,event,plot_72300,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-04-30T09:00:00+00:00,date,2026-04-30,maturity,
tomato,tomato_12010_2026,phenology,GREENHOUSE,synthetic_model,event,plot_12010,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-05-07T09:00:00+00:00,date,2026-05-07,maturity,RAF
pepper,pepper_40811_2026,phenology,OUTDOOR,synthetic_model,event,plot_40811,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-05-07T09:00:00+00:00,date,2026-05-07,maturity,Lamuyo
grape,grape_30412_2026,phenology,OUTDOOR,synthetic_model,event,plot_30412,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-05-07T09:00:00+00:00,date,2026-05-07,maturity,Monastrell
plum,plum_14705_2026,phenology,OUTDOOR,synthetic_model,event,plot_14705,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-05-07T09:00:00+00:00,date,2026-05-07,maturity,Suplum 26
peach,peach_plot_61200_2026,phenology,OUTDOOR,synthetic_model,event,plot_61200,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-05-07T09:00:00+00:00,date,2026-05-07,maturity,
apple,apple_plot_72300_2026,phenology,OUTDOOR,synthetic_model,event,plot_72300,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-05-07T09:00:00+00:00,date,2026-05-07,maturity,
tomato,tomato_12010_2026,phenology,GREENHOUSE,synthetic_model,event,plot_12010,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-05-14T09:00:00+00:00,date,2026-05-14,maturity,RAF
pepper,pepper_40811_2026,phenology,OUTDOOR,synthetic_model,event,plot_40811,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-05-14T09:00:00+00:00,date,2026-05-14,maturity,Lamuyo
grape,grape_30412_2026,phenology,OUTDOOR,synthetic_model,event,plot_30412,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-05-14T09:00:00+00:00,date,2026-05-14,maturity,Monastrell
plum,plum_14705_2026,phenology,OUTDOOR,synthetic_model,event,plot_14705,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-05-14T09:00:00+00:00,date,2026-05-14,maturity,Suplum 26
peach,peach_plot_61200_2026,phenology,OUTDOOR,synthetic_model,event,plot_61200,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-05-14T09:00:00+00:00,date,2026-05-14,maturity,
apple,apple_plot_72300_2026,phenology,OUTDOOR,synthetic_model,event,plot_72300,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-05-14T09:00:00+00:00,date,2026-05-14,maturity,
tomato,tomato_12010_2026,phenology,GREENHOUSE,synthetic_model,event,plot_12010,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-05-21T09:00:00+00:00,date,2026-05-21,maturity,RAF
pepper,pepper_40811_2026,phenology,OUTDOOR,synthetic_model,event,plot_40811,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-05-21T09:00:00+00:00,date,2026-05-21,maturity,Lamuyo
grape,grape_30412_2026,phenology,OUTDOOR,synthetic_model,event,plot_30412,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-05-21T09:00:00+00:00,date,2026-05-21,maturity,Monastrell
plum,plum_14705_2026,phenology,OUTDOOR,synthetic_model,event,plot_14705,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-05-21T09:00:00+00:00,date,2026-05-21,maturity,Suplum 26
peach,peach_plot_61200_2026,phenology,OUTDOOR,synthetic_model,event,plot_61200,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-05-21T09:00:00+00:00,date,2026-05-21,maturity,
apple,apple_plot_72300_2026,phenology,OUTDOOR,synthetic_model,event,plot_72300,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-05-21T09:00:00+00:00,date,2026-05-21,maturity,
tomato,tomato_12010_2026,phenology,GREENHOUSE,synthetic_model,event,plot_12010,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-05-28T09:00:00+00:00,date,2026-05-28,maturity,RAF
pepper,pepper_40811_2026,phenology,OUTDOOR,synthetic_model,event,plot_40811,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-05-28T09:00:00+00:00,date,2026-05-28,maturity,Lamuyo
grape,grape_30412_2026,phenology,OUTDOOR,synthetic_model,event,plot_30412,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-05-28T09:00:00+00:00,date,2026-05-28,maturity,Monastrell
plum,plum_14705_2026,phenology,OUTDOOR,synthetic_model,event,plot_14705,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-05-28T09:00:00+00:00,date,2026-05-28,maturity,Suplum 26
peach,peach_plot_61200_2026,phenology,OUTDOOR,synthetic_model,event,plot_61200,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-05-28T09:00:00+00:00,date,2026-05-28,maturity,
apple,apple_plot_72300_2026,phenology,OUTDOOR,synthetic_model,event,plot_72300,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-05-28T09:00:00+00:00,date,2026-05-28,maturity,
tomato,tomato_12010_2026,phenology,GREENHOUSE,synthetic_model,event,plot_12010,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-06-04T09:00:00+00:00,date,2026-06-04,maturity,RAF
pepper,pepper_40811_2026,phenology,OUTDOOR,synthetic_model,event,plot_40811,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-06-04T09:00:00+00:00,date,2026-06-04,maturity,Lamuyo
grape,grape_30412_2026,phenology,OUTDOOR,synthetic_model,event,plot_30412,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-06-04T09:00:00+00:00,date,2026-06-04,maturity,Monastrell
plum,plum_14705_2026,phenology,OUTDOOR,synthetic_model,event,plot_14705,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-06-04T09:00:00+00:00,date,2026-06-04,maturity,Suplum 26
peach,peach_plot_61200_2026,phenology,OUTDOOR,synthetic_model,event,plot_61200,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-06-04T09:00:00+00:00,date,2026-06-04,maturity,
apple,apple_plot_72300_2026,phenology,OUTDOOR,synthetic_model,event,plot_72300,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-06-04T09:00:00+00:00,date,2026-06-04,maturity,
tomato,tomato_12010_2026,phenology,GREENHOUSE,synthetic_model,event,plot_12010,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-06-11T09:00:00+00:00,date,2026-06-11,maturity,RAF
pepper,pepper_40811_2026,phenology,OUTDOOR,synthetic_model,event,plot_40811,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-06-11T09:00:00+00:00,date,2026-06-11,maturity,Lamuyo
grape,grape_30412_2026,phenology,OUTDOOR,synthetic_model,event,plot_30412,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-06-11T09:00:00+00:00,date,2026-06-11,maturity,Monastrell
plum,plum_14705_2026,phenology,OUTDOOR,synthetic_model,event,plot_14705,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-06-11T09:00:00+00:00,date,2026-06-11,maturity,Suplum 26
peach,peach_plot_61200_2026,phenology,OUTDOOR,synthetic_model,event,plot_61200,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-06-11T09:00:00+00:00,date,2026-06-11,maturity,
apple,apple_plot_72300_2026,phenology,OUTDOOR,synthetic_model,event,plot_72300,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-06-11T09:00:00+00:00,date,2026-06-11,maturity,
tomato,tomato_12010_2026,phenology,GREENHOUSE,synthetic_model,event,plot_12010,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-06-18T09:00:00+00:00,date,2026-06-18,maturity,RAF
pepper,pepper_40811_2026,phenology,OUTDOOR,synthetic_model,event,plot_40811,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-06-18T09:00:00+00:00,date,2026-06-18,maturity,Lamuyo
grape,grape_30412_2026,phenology,OUTDOOR,synthetic_model,event,plot_30412,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-06-18T09:00:00+00:00,date,2026-06-18,maturity,Monastrell
plum,plum_14705_2026,phenology,OUTDOOR,synthetic_model,event,plot_14705,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-06-18T09:00:00+00:00,date,2026-06-18,maturity,Suplum 26
peach,peach_plot_61200_2026,phenology,OUTDOOR,synthetic_model,event,plot_61200,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-06-18T09:00:00+00:00,date,2026-06-18,maturity,
apple,apple_plot_72300_2026,phenology,OUTDOOR,synthetic_model,event,plot_72300,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-06-18T09:00:00+00:00,date,2026-06-18,maturity,
tomato,tomato_12010_2026,phenology,GREENHOUSE,synthetic_model,event,plot_12010,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-06-25T09:00:00+00:00,date,2026-06-25,maturity,RAF
pepper,pepper_40811_2026,phenology,OUTDOOR,synthetic_model,event,plot_40811,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-06-25T09:00:00+00:00,date,2026-06-25,maturity,Lamuyo
grape,grape_30412_2026,phenology,OUTDOOR,synthetic_model,event,plot_30412,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-06-25T09:00:00+00:00,date,2026-06-25,maturity,Monastrell
plum,plum_14705_2026,phenology,OUTDOOR,synthetic_model,event,plot_14705,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-06-25T09:00:00+00:00,date,2026-06-25,maturity,Suplum 26
peach,peach_plot_61200_2026,phenology,OUTDOOR,synthetic_model,event,plot_61200,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-06-25T09:00:00+00:00,date,2026-06-25,maturity,
apple,apple_plot_72300_2026,phenology,OUTDOOR,synthetic_model,event,plot_72300,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-06-25T09:00:00+00:00,date,2026-06-25,maturity,
tomato,tomato_12010_2026,phenology,GREENHOUSE,synthetic_model,event,plot_12010,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-07-02T09:00:00+00:00,date,2026-07-02,maturity,RAF
pepper,pepper_40811_2026,phenology,OUTDOOR,synthetic_model,event,plot_40811,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-07-02T09:00:00+00:00,date,2026-07-02,maturity,Lamuyo
grape,grape_30412_2026,phenology,OUTDOOR,synthetic_model,event,plot_30412,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-07-02T09:00:00+00:00,date,2026-07-02,maturity,Monastrell
plum,plum_14705_2026,phenology,OUTDOOR,synthetic_model,event,plot_14705,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-07-02T09:00:00+00:00,date,2026-07-02,maturity,Suplum 26
peach,peach_plot_61200_2026,phenology,OUTDOOR,synthetic_model,event,plot_61200,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-07-02T09:00:00+00:00,date,2026-07-02,maturity,
apple,apple_plot_72300_2026,phenology,OUTDOOR,synthetic_model,event,plot_72300,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-07-02T09:00:00+00:00,date,2026-07-02,maturity,
tomato,tomato_12010_2026,phenology,GREENHOUSE,synthetic_model,event,plot_12010,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-07-09T09:00:00+00:00,date,2026-07-09,maturity,RAF
pepper,pepper_40811_2026,phenology,OUTDOOR,synthetic_model,event,plot_40811,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-07-09T09:00:00+00:00,date,2026-07-09,maturity,Lamuyo
grape,grape_30412_2026,phenology,OUTDOOR,synthetic_model,event,plot_30412,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-07-09T09:00:00+00:00,date,2026-07-09,maturity,Monastrell
plum,plum_14705_2026,phenology,OUTDOOR,synthetic_model,event,plot_14705,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-07-09T09:00:00+00:00,date,2026-07-09,maturity,Suplum 26
peach,peach_plot_61200_2026,phenology,OUTDOOR,synthetic_model,event,plot_61200,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-07-09T09:00:00+00:00,date,2026-07-09,maturity,
apple,apple_plot_72300_2026,phenology,OUTDOOR,synthetic_model,event,plot_72300,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-07-09T09:00:00+00:00,date,2026-07-09,maturity,
tomato,tomato_12010_2026,phenology,GREENHOUSE,synthetic_model,event,plot_12010,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-07-16T09:00:00+00:00,date,2026-07-16,maturity,RAF
pepper,pepper_40811_2026,phenology,OUTDOOR,synthetic_model,event,plot_40811,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-07-16T09:00:00+00:00,date,2026-07-16,maturity,Lamuyo
grape,grape_30412_2026,phenology,OUTDOOR,synthetic_model,event,plot_30412,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-07-16T09:00:00+00:00,date,2026-07-16,maturity,Monastrell
plum,plum_14705_2026,phenology,OUTDOOR,synthetic_model,event,plot_14705,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-07-16T09:00:00+00:00,date,2026-07-16,maturity,Suplum 26
peach,peach_plot_61200_2026,phenology,OUTDOOR,synthetic_model,event,plot_61200,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-07-16T09:00:00+00:00,date,2026-07-16,maturity,
apple,apple_plot_72300_2026,phenology,OUTDOOR,synthetic_model,event,plot_72300,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-07-16T09:00:00+00:00,date,2026-07-16,maturity,
pepper,pepper_40811_2026,phenology,OUTDOOR,synthetic_model,event,plot_40811,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-07-23T09:00:00+00:00,date,2026-07-23,maturity,Lamuyo
grape,grape_30412_2026,phenology,OUTDOOR,synthetic_model,event,plot_30412,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-07-23T09:00:00+00:00,date,2026-07-23,maturity,Monastrell
plum,plum_14705_2026,phenology,OUTDOOR,synthetic_model,event,plot_14705,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-07-23T09:00:00+00:00,date,2026-07-23,maturity,Suplum 26
peach,peach_plot_61200_2026,phenology,OUTDOOR,synthetic_model,event,plot_61200,VALID,event,SYNTHETIC_TEST,synthetic_test_data,2026-07-23T09:00:00+00:00,date,2026-07-23,maturity,
